,field_1,point_id,lon,lat,target,index_right,NAME,bus_stop_300,railway,n_railway,n_mobile,n_electronics,geometry
63,171,5Hm5PVsi,37.618848,55.80346899999999,0.08404359075152168,41,Москва,3,,,8.0,6.0,POINT (37.618848 55.80346899999999)
64,180,ueXw8anZ,37.478132,55.854932999999996,3.0662302793033462,41,Москва,22,298.923,6.0,9.0,3.0,POINT (37.478132 55.854933)
65,181,b00YAzxr,37.481371,55.663201,3.3255508609165485,41,Москва,13,1525.5670000000007,2.0,7.0,3.0,POINT (37.481371 55.663201)
66,186,uReBoRP9,37.656393,55.636821,-0.39137747553934893,41,Москва,14,3899.1869999999994,3.0,5.0,3.0,POINT (37.656393 55.636821)
67,187,tbmL4C5J,37.602891,55.765829000000004,-0.21849708779721416,41,Москва,8,1276.167,9.0,20.0,7.0,POINT (37.602891 55.765829)
68,191,VtQVSJDn,37.767348999999996,55.705906999999996,1.034885723333263,41,Москва,12,1705.83,2.0,6.0,2.0,POINT (37.767349 55.705907)
69,198,cI5aMfP5,37.174766,55.981852,-0.06722674852284624,41,Москва,23,2989.1300000000006,1.0,7.0,4.0,POINT (37.174766 55.981852)
70,205,1QF1l1v9,37.642140999999995,55.704974,0.3865842693002575,41,Москва,7,213.87800000000001,1.0,6.0,7.0,POINT (37.642141 55.704974)
71,209,95UFIIsM,37.70708,55.747424,-0.045616700055079396,41,Москва,4,256.46000000000004,28.0,7.0,3.0,POINT (37.70708 55.747424)
72,211,zg9Rqx6j,37.783778000000005,55.751043,0.5162445601068586,41,Москва,9,408.775,6.0,8.0,1.0,POINT (37.78377800000001 55.751043)
73,213,59UjpU7q,37.823358,55.82249300000001,0.8187852386555944,41,Москва,11,351.54099999999994,8.0,3.0,1.0,POINT (37.823358 55.82249300000001)
74,215,OHty6LJP,37.543246,55.547844999999995,0.732345044784527,41,Москва,8,203.351,24.0,8.0,2.0,POINT (37.543246 55.547845)
75,216,9F0eikRX,37.605028999999995,55.883288,0.21370388155812275,41,Москва,10,610.2560000000001,14.0,5.0,2.0,POINT (37.60502899999999 55.883288)
76,221,FKpC96cF,37.866307,55.743527,-0.6939181540880848,41,Москва,18,200.98,8.0,10.0,3.0,POINT (37.866307 55.743527)
77,222,XgLZQs6q,37.760289,55.674530000000004,-0.26171718473274785,41,Москва,10,710.505,52.0,6.0,2.0,POINT (37.760289 55.67453)
78,224,JPx1PvlT,37.799084,55.809132,0.4730244631713249,41,Москва,28,3696.4129999999996,1.0,9.0,4.0,POINT (37.799084 55.809132)
79,225,8X4xMkKc,37.508122,55.743649,0.34336417236472383,41,Москва,2,271.701,38.0,4.0,11.0,POINT (37.508122 55.743649)
80,226,GSLqcJM1,37.4297,55.65875,0.8187852386555944,41,Москва,7,702.933,5.0,3.0,2.0,POINT (37.4297 55.65875)
81,227,YTZfRTZJ,37.623825,55.761543999999994,0.8187852386555944,41,Москва,7,970.487,4.0,16.0,11.0,POINT (37.623825 55.76154399999999)
82,228,9PoCNghL,37.633949,55.780203,0.17048378462258906,41,Москва,5,4048.3920000000007,3.0,11.0,5.0,POINT (37.633949 55.780203)
83,232,w6RCwQrC,37.571560999999996,55.503838,-0.52103776634595,41,Москва,4,1757.9669999999996,7.0,5.0,4.0,POINT (37.571561 55.503838)
84,234,d8JVU4L3,37.360169,55.847572,-0.7803583479591522,41,Москва,10,1373.6610000000003,8.0,4.0,3.0,POINT (37.360169 55.847572)
85,236,UfEj63Mg,37.544665,55.863752000000005,0.6459048509134596,41,Москва,7,2897.894,3.0,1.0,5.0,POINT (37.544665 55.86375200000001)
86,237,HtEs9cWZ,37.622612,55.72933100000001,1.164546014139864,41,Москва,11,505.17300000000006,5.0,20.0,2.0,POINT (37.622612 55.72933100000001)
87,238,IlEraymJ,37.675098,55.710535,-0.30493728166828155,41,Москва,3,374.1820000000001,19.0,10.0,2.0,POINT (37.675098 55.710535)
88,240,HAqT6xQb,37.719899,55.612726,3.1526704731744135,41,Москва,12,3846.3150000000005,1.0,14.0,8.0,POINT (37.719899 55.612726)
89,241,2EADrSl6,37.622021999999994,55.684431999999994,2.2018283405926726,41,Москва,6,52.56,9.0,4.0,2.0,POINT (37.62202199999999 55.68443199999999)
90,242,6GDLLbCh,37.759126,55.63894499999999,-0.650698057152551,41,Москва,9,1160.8000000000002,3.0,0.0,2.0,POINT (37.759126 55.63894499999999)
91,247,ZEvDCFD6,37.56367,55.74434,0.9484455294621955,41,Москва,11,134.073,12.0,8.0,5.0,POINT (37.56367 55.74434)
92,256,tLuy6W1t,37.591484,55.707393999999994,1.2509862080109313,41,Москва,1,1071.4440000000002,1.0,5.0,6.0,POINT (37.591484 55.70739399999999)
93,263,PxLPVy6I,37.572989,55.56719399999999,1.1213259172043302,41,Москва,5,1317.1339999999998,4.0,9.0,1.0,POINT (37.572989 55.56719399999999)
94,265,LjxEMUOO,37.541447,55.65596600000001,-0.9532387357012869,41,Москва,14,2023.347,4.0,0.0,3.0,POINT (37.541447 55.65596600000001)
95,266,nJTccp1w,37.514509000000004,55.744566000000006,-0.13205689392614678,41,Москва,3,294.734,7.0,2.0,10.0,POINT (37.514509 55.74456600000001)
96,267,bNDUKJPE,37.60593,55.622604,0.25692397849365645,41,Москва,9,1429.7189999999996,8.0,4.0,2.0,POINT (37.60593 55.622604)
97,268,HGHbCtK4,37.564184000000004,55.678416000000006,0.7107349963167602,41,Москва,9,473.25699999999995,14.0,5.0,5.0,POINT (37.564184 55.67841600000001)
98,271,7f8oLjIM,37.743809999999996,55.802292,0.6459048509134596,41,Москва,8,156.119,8.0,3.0,1.0,POINT (37.74381 55.802292)
99,277,2nZ3pCKA,37.595555,55.647504000000005,-0.30493728166828155,41,Москва,5,1881.206,5.0,1.0,2.0,POINT (37.595555 55.647504)
100,285,aYLir9h9,37.534028,55.693307,-0.7371382510236184,41,Москва,8,,,4.0,0.0,POINT (37.534028 55.693307)
101,287,4sRLEOxj,37.606606,55.763435,-0.045616700055079396,41,Москва,8,335.999,10.0,24.0,13.0,POINT (37.606606 55.763435)
102,290,yLT4AAE2,37.500057,55.697458999999995,-0.5642578632814836,41,Москва,7,156.468,6.0,0.0,3.0,POINT (37.500057 55.69745899999999)
103,292,HWurGKxG,37.174811,55.982678,-0.8667985418302195,41,Москва,20,1286.09,9.0,7.0,4.0,POINT (37.174811 55.982678)
104,293,YhUH0AzP,37.564275,55.48530600000001,-0.9964588326368206,41,Москва,4,427.46400000000006,20.0,0.0,0.0,POINT (37.564275 55.48530600000001)
105,294,8WSj3Gk6,37.664964000000005,55.677589000000005,1.3374264018819988,41,Москва,13,1636.4679999999998,4.0,1.0,2.0,POINT (37.664964 55.677589)
106,296,ULMcd4UD,37.609398,55.724074,-0.32654733013604836,41,Москва,1,2550.961,3.0,9.0,3.0,POINT (37.609398 55.724074)
107,299,OCFXnfRX,37.434961,55.862827,-0.045616700055079396,41,Москва,28,3896.4919999999997,1.0,6.0,0.0,POINT (37.434961 55.862827)
108,301,Uv0PuoVB,37.539124,55.890487,0.4298043662357912,41,Москва,8,260.524,33.0,4.0,2.0,POINT (37.539124 55.890487)
109,309,VPAKzSyv,37.738382,55.621404000000005,-0.13205689392614678,41,Москва,6,2098.507,7.0,3.0,0.0,POINT (37.738382 55.62140400000001)
110,310,agEDsbB4,37.743187,55.650691,-0.52103776634595,41,Москва,9,1350.9940000000001,5.0,12.0,4.0,POINT (37.743187 55.650691)
111,311,1MZSTvdD,37.626744,55.664763,-0.4778176694104163,41,Москва,2,539.471,47.0,3.0,1.0,POINT (37.626744 55.664763)
112,312,tJMGAXxW,37.478967,55.705202,-0.5858679117492506,41,Москва,2,2647.6250000000005,2.0,0.0,0.0,POINT (37.478967 55.705202)
113,313,YFVTWD12,37.799496000000005,55.809774,2.979790085432279,41,Москва,28,2039.0059999999999,5.0,9.0,4.0,POINT (37.799496 55.809774)
114,314,P6UqUJpJ,37.579044,55.569846,0.08404359075152168,41,Москва,11,2456.2509999999997,2.0,9.0,1.0,POINT (37.579044 55.569846)
115,317,i56AVrYY,37.49945,55.820181000000005,1.1213259172043302,41,Москва,12,,,3.0,6.0,POINT (37.49945 55.82018100000001)
116,318,YV1fUOaw,37.588885,55.899252000000004,-0.13205689392614678,41,Москва,20,982.325,23.0,10.0,1.0,POINT (37.588885 55.899252)
117,319,NS2HdU7x,37.566136,55.744381000000004,1.164546014139864,41,Москва,11,368.325,7.0,8.0,6.0,POINT (37.566136 55.744381)
118,320,fPqxIVRl,37.492471,55.603912,0.12726368768705537,41,Москва,8,1808.0839999999998,5.0,0.0,5.0,POINT (37.492471 55.603912)
119,327,DSJ1FKTg,37.486238,55.839484,-0.002396603119545705,41,Москва,9,1618.7540000000001,7.0,7.0,3.0,POINT (37.486238 55.839484)
120,329,ojoSTUzr,37.552933,55.89761,-0.26171718473274785,41,Москва,8,205.649,7.0,4.0,2.0,POINT (37.552933 55.89761)
121,331,k9vFUEKA,37.636654,55.754287,0.3865842693002575,41,Москва,9,,,11.0,5.0,POINT (37.636654 55.754287)
122,333,plCkOHbN,37.199926,56.008615,-0.9100186387657532,41,Москва,6,469.93499999999995,11.0,6.0,2.0,POINT (37.199926 56.008615)
123,336,34hHszrj,37.529346999999994,55.790881999999996,3.1526704731744135,41,Москва,1,,,6.0,7.0,POINT (37.52934699999999 55.790882)
124,337,7hMTdDGt,37.469313,55.66425699999999,-0.6074779602170174,41,Москва,6,246.27599999999998,9.0,6.0,3.0,POINT (37.469313 55.66425699999999)
125,341,AODBmARj,37.660853,55.887902000000004,-0.045616700055079396,41,Москва,27,178.833,24.0,6.0,0.0,POINT (37.660853 55.887902)
126,344,vjPO8Pi1,37.49365,55.792989,-0.7371382510236184,41,Москва,14,119.24600000000001,24.0,3.0,0.0,POINT (37.49365 55.792989)
127,348,te8dMz6Z,37.51644,55.778380000000006,2.007337904382771,41,Москва,9,409.64,13.0,3.0,2.0,POINT (37.51644 55.77838000000001)
128,350,gTgKPP27,37.621543,55.754674,-0.9100186387657532,41,Москва,1,1845.076,8.0,18.0,8.0,POINT (37.621543 55.754674)
129,352,1TMXBgUM,37.606331,55.611794999999994,1.985727855915004,41,Москва,10,,,10.0,6.0,POINT (37.606331 55.61179499999999)
130,354,Hng1ty3A,37.734468,55.709798,0.7755651417200607,41,Москва,10,3179.883,1.0,12.0,1.0,POINT (37.734468 55.709798)
131,355,QaQP4R7f,37.602885,55.596334999999996,-0.30493728166828155,41,Москва,10,211.863,9.0,0.0,0.0,POINT (37.602885 55.596335)
132,356,AGA0LBwJ,37.621947,55.684503,0.06243354228375483,41,Москва,6,1620.565,1.0,4.0,2.0,POINT (37.621947 55.684503)
133,358,e6KI8WVh,37.664147,55.731865,0.25692397849365645,41,Москва,12,187.07599999999996,35.0,7.0,1.0,POINT (37.664147 55.731865)
134,362,H8wtfc6G,37.508715,55.616981,0.12726368768705537,41,Москва,6,752.4239999999999,4.0,7.0,2.0,POINT (37.508715 55.616981)
135,364,Eqhbo1u6,37.527941999999996,55.69219399999999,-0.17527699086168047,41,Москва,1,,,4.0,0.0,POINT (37.527942 55.69219399999999)
136,365,VXCpXVtO,37.732826,55.814578000000004,-0.9964588326368206,41,Москва,4,1873.6949999999997,8.0,3.0,3.0,POINT (37.732826 55.814578)
137,366,ruh50nWT,37.543237,55.547036,-0.30493728166828155,41,Москва,10,1732.4019999999998,4.0,8.0,2.0,POINT (37.543237 55.547036)
138,368,DZnacIGm,37.63531,55.731212,0.17048378462258906,41,Москва,7,,,18.0,1.0,POINT (37.63531 55.731212)
139,369,f9UjG9j3,37.603821999999994,55.865025,-0.21849708779721416,41,Москва,12,,,0.0,3.0,POINT (37.60382199999999 55.865025)
140,375,LLvbayjS,37.576367,55.819033999999995,-0.002396603119545705,41,Москва,6,281.884,11.0,7.0,1.0,POINT (37.576367 55.81903399999999)
141,377,3VbIMBNL,37.75197,55.758818999999995,0.34336417236472383,41,Москва,7,664.4659999999999,3.0,4.0,4.0,POINT (37.75197 55.758819)
142,380,q21AU0gF,37.818283,55.752683,0.9700555779299623,41,Москва,23,458.3,6.0,9.0,2.0,POINT (37.818283 55.752683)
143,381,msf1cbvr,37.749660999999996,55.659647,0.17048378462258906,41,Москва,9,3114.7180000000017,1.0,5.0,6.0,POINT (37.749661 55.659647)
144,390,TvWyQA6I,37.590986,55.736219999999996,1.985727855915004,41,Москва,8,,,4.0,2.0,POINT (37.590986 55.73622)
145,396,owoZjLcJ,37.629579,55.898768000000004,-1.0396789295723543,41,Москва,5,447.19000000000005,6.0,0.0,1.0,POINT (37.629579 55.898768)
146,397,qsQAaylC,37.618947,55.73404,-0.39137747553934893,41,Москва,3,896.1129999999999,6.0,16.0,2.0,POINT (37.618947 55.73404)
147,399,xLWXr3Lf,37.731021000000005,55.729833,0.9484455294621955,41,Москва,3,2823.6639999999998,2.0,3.0,3.0,POINT (37.73102100000001 55.729833)
148,400,W9hpCveX,37.505948,55.675511,-0.4778176694104163,41,Москва,11,4032.525999999999,1.0,6.0,1.0,POINT (37.505948 55.675511)
149,401,ewJhpiY9,37.590618,55.79368100000001,7.215359585114581,41,Москва,8,132.23,7.0,7.0,5.0,POINT (37.590618 55.79368100000001)
150,405,YmlaZQRx,37.531968,55.801912,1.7696273712373356,41,Москва,6,3049.637,1.0,8.0,4.0,POINT (37.531968 55.801912)
151,406,CxcTgNjn,37.660183,55.75524,0.5594646570423922,41,Москва,7,702.196,4.0,16.0,5.0,POINT (37.660183 55.75524)
152,408,ne5FR9fF,37.681473,55.717847,0.9484455294621955,41,Москва,6,339.047,12.0,6.0,2.0,POINT (37.681473 55.717847)
153,410,nkt1PhrL,37.477381,55.85578,0.04082349381598799,41,Москва,22,110.485,9.0,9.0,3.0,POINT (37.477381 55.85578)
154,414,JX7XV6mD,37.743868,55.613216,-0.7803583479591522,41,Москва,17,1459.4319999999998,2.0,6.0,2.0,POINT (37.743868 55.613216)
155,417,PUp3EyzF,37.664266999999995,55.870102,-0.26171718473274785,41,Москва,12,2029.314,1.0,3.0,2.0,POINT (37.664267 55.870102)
156,420,AA8hN7bJ,37.628765,55.740664,0.21370388155812275,41,Москва,3,2183.351,1.0,8.0,1.0,POINT (37.628765 55.740664)
157,421,uNw6t6xk,37.586825,55.794233,-0.002396603119545705,41,Москва,14,391.706,16.0,7.0,7.0,POINT (37.586825 55.794233)
158,422,Ap42ei8k,37.67879,55.772909999999996,-0.9100186387657532,41,Москва,10,,,4.0,4.0,POINT (37.67879 55.77291)
159,423,rn9A8r62,37.75213,55.619640000000004,-0.32654733013604836,41,Москва,3,,,3.0,1.0,POINT (37.75213 55.61964)
160,424,960M6jye,37.70577,55.78295,-1.234169365782256,41,Москва,4,171.99,10.0,12.0,7.0,POINT (37.70577 55.78295)
161,2,ZgodVRqB,39.635721000000004,47.21333,-1.0396789295723543,39,Ростовская область,6,323.008,6.0,0.0,3.0,POINT (39.635721 47.21333)
162,9,CHtHXJLp,39.701709,47.234012,-0.13205689392614678,39,Ростовская область,4,234.532,6.0,9.0,4.0,POINT (39.701709 47.234012)
163,10,sgrEW5hG,39.716986999999996,47.222272,-1.212559317314489,39,Ростовская область,11,348.249,7.0,18.0,10.0,POINT (39.716987 47.222272)
164,25,B8K3Fzd0,39.7046,47.226000000000006,0.08404359075152168,39,Ростовская область,4,411.86599999999993,9.0,20.0,8.0,POINT (39.7046 47.22600000000001)
165,45,7T3FujXu,39.67201,47.211275,0.8187852386555944,39,Ростовская область,4,3393.0050000000015,1.0,2.0,1.0,POINT (39.67201 47.211275)
166,93,49RGSbXb,39.762138,47.232181,0.30014407542919014,39,Ростовская область,4,3604.0559999999996,1.0,4.0,2.0,POINT (39.762138 47.232181)
167,112,GT8iSIX9,39.629515000000005,47.208802,0.30014407542919014,39,Ростовская область,2,480.53999999999996,8.0,0.0,3.0,POINT (39.629515 47.208802)
168,130,ALeY6VVA,39.710881,47.249843,-0.17527699086168047,39,Ростовская область,5,156.545,12.0,2.0,3.0,POINT (39.710881 47.249843)
169,135,A2xt33Am,39.717178000000004,47.281294,-0.6939181540880848,39,Ростовская область,4,1588.3590000000002,5.0,5.0,4.0,POINT (39.717178 47.281294)
170,144,SXJSzE6M,39.690447,47.260108,0.30014407542919014,39,Ростовская область,2,,,2.0,2.0,POINT (39.690447 47.260108)
171,190,uFWtwbd5,39.713683,47.249262,0.30014407542919014,39,Ростовская область,4,864.381,28.0,1.0,4.0,POINT (39.713683 47.249262)
172,210,O1UQUy36,39.713982,47.294783,-0.17527699086168047,39,Ростовская область,4,2914.2499999999986,2.0,4.0,5.0,POINT (39.713982 47.294783)
173,231,1qYX1KZb,39.710018,47.220296999999995,-1.0396789295723543,39,Ростовская область,14,383.58799999999997,5.0,18.0,8.0,POINT (39.710018 47.220297)
174,246,p4OinUCs,39.690907,47.218739,-0.9532387357012869,39,Ростовская область,16,290.20300000000003,6.0,1.0,0.0,POINT (39.690907 47.218739)
175,283,9hCdPw1R,39.610521000000006,47.230596000000006,-0.30493728166828155,39,Ростовская область,7,2920.955,2.0,5.0,5.0,POINT (39.61052100000001 47.23059600000001)
176,289,PIdoZHEy,39.764188,47.242109,-0.34815737860381524,39,Ростовская область,5,159.302,25.0,1.0,1.0,POINT (39.764188 47.242109)
177,302,lvkMDIOb,39.628532,47.229281,0.08404359075152168,39,Ростовская область,4,,,1.0,3.0,POINT (39.628532 47.229281)
178,342,lFH5jSIm,39.830557,47.238839,1.7480173227695688,39,Ростовская область,2,3871.591000000001,1.0,0.0,2.0,POINT (39.830557 47.238839)
179,347,mU5wwKjd,39.765401000000004,47.254866,-1.1693392203789554,39,Ростовская область,7,3144.9239999999995,1.0,0.0,1.0,POINT (39.765401 47.254866)
180,378,YQ7ziyzt,39.715453000000004,47.282521,-0.4345975724748826,39,Ростовская область,6,120.661,7.0,5.0,4.0,POINT (39.715453 47.282521)
181,383,zaG5km8I,39.756130999999996,47.282688,-0.045616700055079396,39,Ростовская область,4,718.846,7.0,0.0,1.0,POINT (39.756131 47.282688)
182,5,ci9r9Fr2,92.926002,56.06590799999999,-0.21849708779721416,68,Красноярский край,8,98.848,6.0,0.0,1.0,POINT (92.926002 56.06590799999999)
